path,size_bytes,separator,status,rows,error
SCADA/2019_02/Export_2019-02-01 02-05-12.038_[2019-01-31 00-00-00.000]_[2019-02-01 00-00-00.000].csv,71037052,;,processed,1831568,
SCADA/2019_02/Export_2019-02-02 02-05-12.403_[2019-02-01 00-00-00.000]_[2019-02-02 00-00-00.000].csv,57470271,;,processed,1475731,
SCADA/2019_02/Export_2019-02-03 02-05-12.722_[2019-02-02 00-00-00.000]_[2019-02-03 00-00-00.000].csv,788537,;,processed,20264,
SCADA/2019_02/Export_2019-02-04 02-05-13.118_[2019-02-03 00-00-00.000]_[2019-02-04 00-00-00.000].csv,197248,;,processed,5063,
SCADA/2019_02/Export_2019-02-05 02-05-13.514_[2019-02-04 00-00-00.000]_[2019-02-05 00-00-00.000].csv,62980129,;,processed,1618611,
SCADA/2019_02/Export_2019-02-06 02-05-13.958_[2019-02-05 00-00-00.000]_[2019-02-06 00-00-00.000].csv,60759133,;,processed,1562770,
SCADA/2019_02/Export_2019-02-07 02-05-14.385_[2019-02-06 00-00-00.000]_[2019-02-07 00-00-00.000].csv,63556024,;,processed,1633447,
SCADA/2019_02/Export_2019-02-08 02-05-14.797_[2019-02-07 00-00-00.000]_[2019-02-08 00-00-00.000].csv,56241343,;,processed,1444166,
SCADA/2019_02/Export_2019-02-09 02-05-15.272_[2019-02-08 00-00-00.000]_[2019-02-09 00-00-00.000].csv,49782987,;,processed,1278091,
SCADA/2019_02/Export_2019-02-10 02-05-15.653_[2019-02-09 00-00-00.000]_[2019-02-10 00-00-00.000].csv,320875,;,processed,8222,
SCADA/2019_02/Export_2019-02-11 02-05-16.174_[2019-02-10 00-00-00.000]_[2019-02-11 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_02/Export_2019-02-12 02-05-16.680_[2019-02-11 00-00-00.000]_[2019-02-12 00-00-00.000].csv,59447133,;,processed,1529959,
SCADA/2019_02/Export_2019-02-13 02-05-17.123_[2019-02-12 00-00-00.000]_[2019-02-13 00-00-00.000].csv,54989370,;,processed,1411423,
SCADA/2019_02/Export_2019-02-14 02-05-17.519_[2019-02-13 00-00-00.000]_[2019-02-14 00-00-00.000].csv,60110337,;,processed,1545139,
SCADA/2019_02/Export_2019-02-15 02-05-17.963_[2019-02-14 00-00-00.000]_[2019-02-15 00-00-00.000].csv,63296433,;,processed,1629453,
SCADA/2019_02/Export_2019-02-16 02-05-18.375_[2019-02-15 00-00-00.000]_[2019-02-16 00-00-00.000].csv,63997139,;,processed,1646311,
SCADA/2019_02/Export_2019-02-17 02-05-18.771_[2019-02-16 00-00-00.000]_[2019-02-17 00-00-00.000].csv,2583546,;,processed,66664,
SCADA/2019_02/Export_2019-02-18 02-05-19.183_[2019-02-17 00-00-00.000]_[2019-02-18 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_02/Export_2019-02-19 02-05-19.720_[2019-02-18 00-00-00.000]_[2019-02-19 00-00-00.000].csv,62209231,;,processed,1600617,
SCADA/2019_02/Export_2019-02-20 02-05-20.195_[2019-02-19 00-00-00.000]_[2019-02-20 00-00-00.000].csv,66684287,;,processed,1716284,
SCADA/2019_02/Export_2019-02-21 02-05-20.560_[2019-02-20 00-00-00.000]_[2019-02-21 00-00-00.000].csv,66717242,;,processed,1716488,
SCADA/2019_02/Export_2019-02-22 02-05-21.034_[2019-02-21 00-00-00.000]_[2019-02-22 00-00-00.000].csv,66635471,;,processed,1716553,
SCADA/2019_02/Export_2019-02-23 02-05-21.415_[2019-02-22 00-00-00.000]_[2019-02-23 00-00-00.000].csv,41105393,;,processed,1052879,
SCADA/2019_02/Export_2019-02-24 02-05-21.780_[2019-02-23 00-00-00.000]_[2019-02-24 00-00-00.000].csv,287010,;,processed,7342,
SCADA/2019_02/Export_2019-02-25 02-05-22.099_[2019-02-24 00-00-00.000]_[2019-02-25 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_02/Export_2019-02-26 02-05-22.417_[2019-02-25 00-00-00.000]_[2019-02-26 00-00-00.000].csv,47847114,;,processed,1228082,
SCADA/2019_02/Export_2019-02-27 02-05-22.860_[2019-02-26 00-00-00.000]_[2019-02-27 00-00-00.000].csv,54300287,;,processed,1397077,
SCADA/2019_02/Export_2019-02-28 02-05-23.285_[2019-02-27 00-00-00.000]_[2019-02-28 00-00-00.000].csv,62081534,;,processed,1598924,
SCADA/2019_03/Export_2019-03-01 02-05-23.773_[2019-02-28 00-00-00.000]_[2019-03-01 00-00-00.000].csv,78415803,;,processed,2022375,
SCADA/2019_03/Export_2019-03-02 02-05-24.232_[2019-03-01 00-00-00.000]_[2019-03-02 00-00-00.000].csv,64007104,;,processed,1648375,
SCADA/2019_03/Export_2019-03-03 02-05-24.675_[2019-03-02 00-00-00.000]_[2019-03-03 00-00-00.000].csv,32197996,;,processed,835303,
SCADA/2019_03/Export_2019-03-04 02-05-25.118_[2019-03-03 00-00-00.000]_[2019-03-04 00-00-00.000].csv,2271483,;,processed,58523,
SCADA/2019_03/Export_2019-03-05 02-05-25.608_[2019-03-04 00-00-00.000]_[2019-03-05 00-00-00.000].csv,64311814,;,processed,1654863,
SCADA/2019_03/Export_2019-03-06 02-04-25.549_[2019-03-05 00-00-00.000]_[2019-03-06 00-00-00.000].csv,64796904,;,processed,1666590,
SCADA/2019_03/Export_2019-03-07 02-04-25.946_[2019-03-06 00-00-00.000]_[2019-03-07 00-00-00.000].csv,71254213,;,processed,1835051,
SCADA/2019_03/Export_2019-03-08 02-04-26.389_[2019-03-07 00-00-00.000]_[2019-03-08 00-00-00.000].csv,66621417,;,processed,1717553,
SCADA/2019_03/Export_2019-03-09 02-04-26.817_[2019-03-08 00-00-00.000]_[2019-03-09 00-00-00.000].csv,66338620,;,processed,1707120,
SCADA/2019_03/Export_2019-03-10 02-04-27.229_[2019-03-09 00-00-00.000]_[2019-03-10 00-00-00.000].csv,22323437,;,processed,576876,
