sensor_id,valid_value_count,outlier_count,outlier_ratio
56,483539,24893,0.05148085263029456
96,219738,7367,0.03352629040038591
45,90758,3015,0.03322021199233125
63,91619,2957,0.03227496479987776
114,219848,7075,0.03218132527928387
80,91160,2901,0.03182316805616498
127,219912,6953,0.03161719233147805
355,1329289,41718,0.031383694591620034
103,46130,1382,0.029958812052893996
34,91275,2734,0.02995343741440701
74,219516,6463,0.029442045226771626
150,37079,1058,0.028533671350360043
124,907872,25542,0.02813392196256741
17,111611,3069,0.027497289693668187
291,1182914,30407,0.025705165379731748
279,1186242,30409,0.025634735576720434
349,1331831,34138,0.025632381285613567
44,2693093,68746,0.025526782773561848
64,10805721,258064,0.023882163901881234
89,46150,1059,0.02294691224268689
92,11315162,258796,0.022871612443551403
110,2146381,48940,0.02280117090115874
156,46471,1037,0.022314992145639215
142,37093,815,0.02197180060927938
299,455308,9976,0.021910443040754828
135,137391,2929,0.021318718111084423
101,10746917,228661,0.021276892712579803
21,2152817,45407,0.021091899590164886
35,432184,9058,0.02095866575347537
76,905768,17861,0.019719177537735933
134,110773,2129,0.019219484892527963
153,46485,885,0.01903839948370442
105,903270,17074,0.018902432273849457
122,135959,2565,0.018865981656234602
68,11178187,209666,0.018756708936789122
109,11216992,205244,0.018297597074153214
47,11212961,205043,0.018286249278847932
99,137332,2507,0.018255031602248565
97,111665,2030,0.018179375811579277
285,1434809,26079,0.018175938400163367
155,90163,1623,0.01800073200758626
310,1037521,18490,0.017821326026172
111,137442,2442,0.017767494652289693
66,51625,909,0.017607748184019372
322,1122977,19658,0.01750525611833546
143,108628,1892,0.017417240490481274
318,1042584,18046,0.017308917075266838
86,51627,876,0.01696786565169388
79,184776,3090,0.016722951032601636
55,141980,2373,0.01671362163685026
128,2140327,35048,0.016375067921864276
303,1079732,17622,0.016320716622272934
36,51635,833,0.01613246828701462
18,137528,2208,0.016054912454191148
46,10838777,173618,0.016018227886780954
157,90155,1388,0.015395707392823471
138,110754,1651,0.014906910811347672
665,51544,759,0.014725283253142946
326,1002789,14706,0.01466509903878084
658,146121,2121,0.01451536740098959
656,146130,2099,0.01436392253472935
301,1036875,14830,0.014302591922845087
70,6908722,95944,0.013887373091579022
668,51519,710,0.013781323395252237
669,35531,486,0.013678196504460893
133,45237,607,0.013418219599000818
648,146127,1874,0.012824460914136334
652,146127,1851,0.01266706358167895
53,111584,1358,0.012170203613421278
661,51574,622,0.012060340481638034
48,189387,2224,0.011743150269025858
52,51633,579,0.011213758642728488
93,146829,1625,0.011067295970142138
62,2668928,29496,0.01105162821927006
81,111679,1210,0.010834624235532195
125,45265,451,0.009963547995139732
664,51566,503,0.009754489392235194
146,2777108,26719,0.009621159854064011
149,108609,970,0.008931119888775332
121,154637,1376,0.008898258502169597
84,10712815,89244,0.008330583511430002
87,267005,2096,0.007850040261418325
19,2769974,21725,0.007843033905733411
120,2793611,21868,0.007827861502549925
151,59795,460,0.007692950915628397
137,2785393,20275,0.007279044644687482
647,103110,737,0.007147706333042382
95,6908802,46700,0.0067594931798595475
112,154666,1037,0.006704770279182238
646,103142,690,0.006689806286478835
60,189505,1253,0.006611962745046305
663,37866,244,0.006443775418581313
113,2646377,16784,0.006342255846389234
32,2698276,16632,0.006163935787147052
141,2662673,15294,0.005743852136556009
147,2654412,14484,0.005456575693599939
130,2639626,13955,0.005286733802440194
659,59656,310,0.005196459702293148
660,59650,307,0.005146689019279128
336,106790,517,0.004841277273152917
341,125056,585,0.004677904298874104
346,100632,468,0.004650608156451228
356,140040,630,0.004498714652956298
154,59795,258,0.004314742035287231
292,100210,415,0.004141303263147391
351,103806,360,0.0034680076296167853
330,1349733,4551,0.003371777973865942
331,98154,324,0.003300935264991748
667,39261,125,0.0031838210947250454
641,949233,2660,0.002802262458216265
280,594886,1659,0.0027887696130014824
654,44435,107,0.0024080117024867786
644,78916,159,0.0020148005474175073
49,6908852,12821,0.0018557352220021502
335,1374156,2121,0.0015434928785378079
140,103259,150,0.0014526578797005587
640,959431,1293,0.0013476737774785264
100,539009,587,0.0010890356190712957
650,111207,118,0.0010610842842626812
102,182514,131,0.0007177531586618013
340,1330472,861,0.0006471387597784846
116,127075,70,0.0005508557938225457
345,1074320,559,0.0005203291384317522
653,44461,23,0.0005173073030296214
642,79001,38,0.0004810065695370945
117,539344,225,0.0004171734551603429
145,103245,38,0.0003680565644825415
88,184718,57,0.00030857848179386956
85,148097,36,0.0002430839247250113
638,574775,102,0.00017746074550911226
115,182534,18,9.861176547930796e-05
670,12193,1,8.201427048306405e-05
107,150461,8,5.3169924432244904e-05
119,150547,6,3.985466332773154e-05
33,150390,5,3.324689141565264e-05
54,150573,4,2.6565187649844262e-05
104,125469,3,2.391028859718337e-05
313,390398,9,2.3053396789942572e-05
94,125453,1,7.971112687620064e-06
75,512781,1,1.950150259077462e-06
278,894404,0,0.0
290,894343,0,0.0
284,798344,0,0.0
286,83217,0,0.0
662,39295,0,0.0
78,149622,0,0.0
20,125471,0,0.0
51,125468,0,0.0
67,149699,0,0.0
