sensor_id,dataset_split,month,window_count,sigma_anomaly_count,isolation_anomaly_count,warning_count,risk_mean,risk_p95,sigma_anomaly_rate,isolation_anomaly_rate,warning_rate
109,test,2019-06,4340,179,249,249,53.956712361085856,95.62280969069025,0.04124423963133641,0.057373271889400924,0.057373271889400924
109,test,2019-07,21912,860,1304,1304,52.262688572360446,95.81708060338259,0.03924790069368383,0.05951077035414385,0.05951077035414385
109,train,2019-01,1287,30,8,8,36.598118812807215,81.33399360048759,0.023310023310023312,0.006216006216006216,0.006216006216006216
109,train,2019-02,22029,633,371,371,39.409143206411656,90.36492457717507,0.02873484951654637,0.016841436288528758,0.016841436288528758
109,train,2019-03,21603,685,440,440,39.656377719222,90.94049977144597,0.03170855899643568,0.020367541545155764,0.020367541545155764
109,train,2019-04,19858,709,478,478,39.28430558780537,91.44065214078927,0.03570349481317353,0.02407090341424111,0.02407090341424111
109,train,2019-05,13979,575,256,256,39.99431920349561,90.5340545482249,0.04113312826382431,0.018313184061806997,0.018313184061806997
109,validation,2019-05,8872,311,244,244,43.96591510499539,91.95585098278224,0.03505410279531109,0.02750225428313796,0.02750225428313796
109,validation,2019-06,17380,673,1069,1069,53.08310862215857,95.96640255980498,0.038722669735327966,0.06150747986191024,0.06150747986191024
84,test,2019-06,3408,331,271,271,55.40578474775547,97.7716544866419,0.0971244131455399,0.079518779342723,0.079518779342723
84,test,2019-07,21634,3462,2789,2789,56.05327038086677,99.35306097999282,0.16002588518073402,0.12891744476287326,0.12891744476287326
84,train,2019-01,1287,22,1,1,42.06140313723877,85.09404576494549,0.017094017094017096,0.000777000777000777,0.000777000777000777
84,train,2019-02,20679,435,10,10,41.99784223885884,87.25010981989536,0.02103583345422893,0.00048358237825813627,0.00048358237825813627
84,train,2019-03,20104,470,15,15,40.90158097743179,86.97336368355897,0.023378432152805412,0.0007461201750895344,0.0007461201750895344
84,train,2019-04,18713,846,428,428,46.06494470001171,91.45321672457169,0.045209212846684124,0.022871800352695988,0.022871800352695988
84,train,2019-05,14340,773,355,355,48.433985836449985,91.63372069805519,0.05390516039051604,0.024755927475592746,0.024755927475592746
84,validation,2019-05,7674,625,400,400,49.811849354132455,95.21065452657642,0.08144383633046651,0.05212405525149857,0.05212405525149857
84,validation,2019-06,17367,1304,853,853,50.08602176187602,94.91114572101753,0.0750849311913399,0.04911613980537802,0.04911613980537802
92,test,2019-06,4345,36,349,349,59.4105005808527,96.89506760617026,0.008285385500575374,0.08032220943613348,0.08032220943613348
92,test,2019-07,21910,266,890,890,49.389128896880045,93.99181108360312,0.012140575079872205,0.040620721131903244,0.040620721131903244
92,train,2019-01,1287,35,69,69,58.1673701993641,95.39859074462008,0.027195027195027196,0.053613053613053616,0.053613053613053616
92,train,2019-02,22036,713,1493,1493,54.906110770626924,96.70158065130451,0.03235614449083318,0.06775276819749501,0.06775276819749501
92,train,2019-03,21607,697,1405,1405,53.47158111940577,96.1862502380499,0.03225806451612903,0.06502522330726153,0.06502522330726153
92,train,2019-04,19867,676,1367,1367,53.061812682600575,96.72062464292516,0.03402627472693411,0.06880757034277948,0.06880757034277948
92,train,2019-05,13968,581,939,939,50.41693034850941,96.43877356693963,0.041595074455899196,0.06722508591065292,0.06722508591065292
92,validation,2019-05,8886,261,450,450,48.47498561199215,95.08093696438775,0.02937204591492235,0.05064145847400405,0.05064145847400405
92,validation,2019-06,17369,209,863,863,50.78307952802258,94.97467149114453,0.012032932235592146,0.04968622258045944,0.04968622258045944
